Criteria,RegEx
Exactly 8 characters,grep -P ^.{8}$
First character is a number,grep -P ^[0-9]
Last character is a number,grep -P [0-9]$
First character is uppercase,grep -P ^[A-Z]
Last character is uppercase,grep -P [A-Z]$
First character is special,grep -P ^[^A-Za-z0-9]
Last character is special,grep -P [^A-Za-z0-9]$
Last character is !,grep -P [!]$
"One uppercase, first character",grep -P ^[A-Z][^A-Z]*$
"One number, last character",grep -P '^\D*\d$'
"One number, last character, 1",grep -P '^\D*[1]$'
"One number, first character",grep -P ^[0-9][A-Za-z]*$
"One number, first character, 1",grep -P ^[1][A-Za-z]*$
"One special, last character",grep -P ^[A-Za-z0-9]*[^A-Za-z0-9]$
"One special, last character, !",grep -P ^[A-Za-z0-9]*[!]$
"One special, first character",grep -P ^[^A-Za-z0-9][A-Za-z0-9]*$
"One special, first character, !",grep -P ^[!][A-Za-z0-9]*$
"Contains year, 19??",grep -P 19[0-9][0-9]
"Contains year, 20??",grep -P 20[0-9][0-9]$
"Contains year, 19??, last 4 characters",grep -P 19[0-9][0-9]$
Contains no numbers,grep -P '^\D*$'
Contains no specials,"grep -Pv ""[\`\!\@\#]"""
Contains no uppercase,grep -Pv [A-Z]
Contains no lowercase,grep -Pv [a-z]